Author,Rating,Review
lung lung,2,"Ice cap still consistently good.  Just the staff wouldn't give me some cream and milk to add into it to make it less sweet.  They wouldn't even give me water... lol I'm thinking, even if I order a regular coffee, they would ask me how many cream or sugar.  I'm not sure if this is company policy or just staff incompetency.  Also tables are dirty.  Lucky I had wetnaps with me"
Saad Asif,1,"This is Hands down the WORSTTTT FREAKINNGGG Tim hortons I have ever been to. People working here need some real customer service training. They almost never have anything, I swear I wemt there once to order my double double coffee, They did not have a freakinggg Cream y'all, CANN YOU BELIEVE THIS!!!"
trapzzz,1,"This place never has any food in the afternoon/evening and they are understaffed as well. The Indian lady who works there in the evening has a very bad attitude. She doesn't want people to order food and looks visibly upset if someone does order food, and she just looks like she hates her job in general."
Queen Leo,5,I love this place but it's a little bit dark and there should be seasonal colors on the windows like for Christmas for winter anything to make more attract people from miles it looks always close from far ...
BOUCH,1,"Worst Tim's I've ever been to and will never go back. It wasn't busy, one person ahead of me. Took over 10 minutes to get two coffees. They all appeared to have no idea what they were doing. I love Tims, never again at this location."
Norberto Palao,5,"I had the misfortune of dropping my wallet while having coffee.  I only noticed I was missing it 2 hours later after coming home.  I came back to the restaurant to find out that the store manager, Newran Vijayaraja, had found it.  Newran, after some time of having put it away in a safe place, brought it to the Pointe Claire police station.  Newran then offered to drive me to the station to recover it.  Newran Vijayaraja is an honest class act human being.  I will be forever grateful and in debt with him for his action.  Tim Hortons on Hymus is lucky to have such an individual as their store manager!"
Jabbatorre Da The Hut,4,"Some comments on g-map are pretty bad so I was apprehensive, but the shelves were actually filled with fresh donuts (you can tell by the look of the glaze) and the coffee was hot. I was served in French, but the staff was bilingual. Some of the equipment could use a bit of dusting - but nothing unusual for this type of fast food."
le Revenant,1,"This store is overwhelmed and under staffed. It’s unfortunate as the location is a killer spot and it’s always busy. Hut busier than they can handle. Whether your do mobile order, in store, or uber, the wait is going to be long.

Experienced staff members are scattered trying to keep up and items are getting lost.

There is a paper sign in the window indicating that they’re hiring, either the pay is too low for the amount of pressure the staff get put through. I waited 25 mins for a bagel.

And some had been waiting on their mobile orders the entire time i was there.

This place needs staffing bad.

If your heading this way be sure to practice patience."
Roger Brassard,1,"What do you need to do to loose your franchise.

I am at home sick, I ordered through Uber toast and jam. This is what I received. Really hardly any jam, how hard is it to slice the bread and put more than a microscopic amount. I called the store to complain and they where not interested and where annoyed. Very poor service and customer care. 18 dollars for muffin “they did not mess up the muffin” tea and toast, I wish I could get a refund, lousy, lousy store"
Marc The Frenchie Canadian,1,"Poorly lit, ice Capp tasted off, and to top it all off, the ""employee"" who served me didn't even look like an employee....no Tim shirt, no hat, no smile, not even a mandatory hair net over his full head of hair....not sure I have a reason to recommend this place"
Alyssa D,3,"coffee taste like nothing, food is dry and bland. too expensive. its not the staff’s fault, corporate decided a few years ago to stop making fresh food. the team on the spot really tries their hardest to offer a good service ut their limited by tim hortons business choice."
labyrinthfan2,1,Honestly I would give a negative if I could there is new staff I asked for a switch and refused to do it.  And this place always used to be busy at lunch. It also doesn’t help when you hire students or people that don’t wanna do their jobs or go out of their way. I have gone there before and there was never an issue after this I’ve been turned off this location forever
Steve Maigue,5,"Quick workers, stocked well in the morning. Didn’t have to wait too long :)"
Leonid Chukhovsky,5,"Fast service, fresh food, everything as good as it gets."
D Pineault,1,"2022-07-14
------------------
Tried this location once more and sadly no improvement, bare shelves, no timbits, next to no donuts (picture is pretty clear).  We left and went to the Tim Hortons at the corner of Hymus and Blvd Des Sources where all their shelves were full!  I'm surprised Tim Hortons doesn't address the franchisee as this is a continuous failure to provide service and gives their brand a black eye.

2019-06-20
------------------
Went back tonight to get a treat from my daughters and sadly, same thing as last time.  Their display was bare!  I overheard the supervisor tell an employee ""bake things just to throw them out, no"".  So she prefers to have nothing and turn clients away.  Anyways, this was my final visit at this location.  It's the closest to me, but selection/service is garbage at this point.  Too bad as it wasn't always like this.  It used to be great.

2019-03-24 (2 stars)
------------------
Steady decline in quality.  Getting worse and worse, shelves completely bare this time (picture says it all)!  Coffee shop with no donuts or Timbits!  No words.

Drove to blvd. Des Sources and Hymus and they are fully stocked there.  Go there instead.

2018-01-14 (down to 3 stars)
------------------
Went yesterday, their shelves were bare, absolutely no selection whatsoever and got a box of Timbit.  When we got home they were stale.  Very disappointing experience.

Original Review (was 4 stars)
-------------------------
Usually good coffee, fresh products and quick service.  Bathrooms are also kept very clean.

No drive through though.

I've gone there numerous time and have only had one error with my order which was quickly corrected without any hassel.  Everyone makes mistakes, it""s the way it is handled that is important and they seem to handle it here very well. By"
Jj premium car detailing,1,"They have no more breakfast and its still the morning, the service is slow and lazy.DO NOT COME HERE!!"
Alexandra,4,"I’ve been here a few times. Service is fast, employees are nice, and the food is good. No mistakes on my orders. Only things that could improve is the cleanliness of the washrooms."
Ali Rezaee,2,"Today, officially I have more than 10 online order wrong! Sometimes donuts or hash brown are missing for office and sometimes my drink is wrong.

I get it, mistakes happen but this looks like they are under staffed and pressured.

Pleasant people working there though."
Joe Cruise,4,"Its your usual Tim Hortons.  This particular outlet is located in a mini mall so at least you have other shopping options.  For instance Wal-Mart, Home Depot, Dollarama, Sail and l'Equipeur.  As for dining there is a Chez Cora and A&W.  Plenty of parking.

As a side not I'm not sure if the clientele has changed or people are plain lazy these days.  Empty containers left on tables and trash left on the floor.  The staff did do a good job of cleaning when they had the chance though."
Daninc 2k,3,"Average Tim Hortons. Okay food, okay service, they usually have everything on the menu."
Oleg Didic,1,"The worst place in the galaxy. They neer wants to work. You can't eat here afternoon. At 1 p.m. they start to prepare for closing at 8 p.m., and no food is served.
... and it's dirty"
leto BG,2,Poor service. The girl at the cashier (red hair'ish) is rude and shouldn't be client facing!
Anne Blanchette,1,"Horrible service, I'm on the road every day, I'm always go to tim horton's or McDonald's, very poor service, does this sandwich look lightly toasted, no it doesn't its burnt in the inside and white on the outside no butter,which was asked for, asked for 3 muffins got two,and the argue with u, about the order, every single time they screw up my order, and u ask to speak with the manager, then yr told u have to come back during the week, I m looking for another place to go"
ilove montreal,5,Love that place best tim Horton ever I love all the employee they are full of happiness I enjoy each second of sitting in that location super clean extra fast service well organized employee well trained they know exactly how and what to do love it
D W,1,"Sunday morning, September 24, 8:05 a.m.  Ordered two breakfast sandwiches with bacon only to be told we have no bacon. Asked for two black coffee, one with a shot of espresso. Guess what….we don’t have any espresso. Took what they had as we were in a hurry but never again. Not even sure if I got a price break on the two breakfast sandwiches with egg and cheese only, no bacon. Certainly won’t be going back."
Karolane Vattelli,1,"If I could give 0 stars, I would.

This is the worst Tim Horton’s in the whole West Island.

I’ve been there seversl times since it’s close to my work place. After today, I decided I had enough and it was time for a review.

I had to wait 40 minutes to order. I arrived at 1PM and the line was so long and the service so slow that it took 40 minutes just to get to the counter to order.

Several people quit after a few minutes realizing how ridiculous the wait was.

This location is severly ubderstaffed and the poeple who actually work there are terribly under qualified, probably due to the lack of training.

The person who took my order didn’t know how to use their computer system and was visibly really aggravated about it.

After paying and waiting for my order, they came back saying to me that they didn’t have brown bred anymore as I ordered. I mentioned that white bread would be fine. They came back a few minutes later to tell me that they were also out of white bread.

They wanted me to replace my order by something else which I politely declined and they were visibly mad at me for not wanting something else. They told me that if I wanted a refund that I needed to get back in line.

Since I was on my lunch break I didn’t have time to wait another 40 minutes seeing as my lunch break was 15 minutes from it’s end.

I then wasn’t allowed a refund."
David Bodi,3,Many Tim Horton locations are dirty. Never was like that before.
najla Mohmand,4,"I totally dislike atmosphere, it's very dark not attractive and sleepy place lights are not bright, I love Tim Hortons but this place is something not attractive."
